data,temperatura,chuva,umidade
2020-05-08,28.3,3.9,90.3
2020-05-09,26.5,5.6,63.6
2020-05-10,23.3,5.0,64.4
2020-05-11,28.2,9.7,94.3
2020-05-12,24.8,1.2,83.6
2020-05-13,29.4,1.4,89.6
2020-05-14,25.2,4.2,71.4
2020-05-15,32.6,7.4,83.7
2020-05-16,25.7,8.6,80.8
2020-05-17,27.0,3.1,81.1
2020-05-18,30.4,0.2,83.9
2020-05-19,24.3,3.2,80.1
2020-05-20,28.7,6.7,75.0
2020-05-21,31.9,4.9,69.7
2020-05-22,23.2,7.6,86.9
2020-05-23,28.6,11.2,67.9
2020-05-24,28.8,4.4,84.2
2020-05-25,30.3,3.5,68.2
2020-05-26,24.3,2.3,81.9
2020-05-27,24.0,1.3,86.1
2020-05-28,29.6,1.0,67.7
2020-05-29,28.9,2.8,62.1
2020-05-30,28.8,10.2,64.6
2020-05-31,29.0,8.1,81.2
2020-06-01,26.0,3.3,89.7
2020-06-02,28.7,18.9,61.6
2020-06-03,28.9,3.0,85.7
2020-06-04,25.9,11.9,71.9
2020-06-05,33.6,13.8,76.7
2020-06-06,29.4,7.0,92.5
2020-06-07,24.4,2.8,71.6
2020-06-08,30.0,3.7,76.3
2020-06-09,25.1,5.7,60.5
2020-06-10,30.4,1.4,62.9
2020-06-11,31.5,2.1,69.1
2020-06-12,25.5,1.9,61.0
2020-06-13,30.9,7.4,82.1
2020-06-14,29.2,11.1,74.9
2020-06-15,30.5,8.3,79.2
2020-06-16,33.7,9.9,66.1
2020-06-17,27.3,2.6,70.4
2020-06-18,25.7,3.9,83.2
2020-06-19,25.3,4.1,93.8
2020-06-20,25.6,7.0,61.8
2020-06-21,27.8,2.9,91.2
2020-06-22,29.0,9.5,80.2
2020-06-23,28.8,13.6,79.7
2020-06-24,30.5,7.2,77.5
2020-06-25,28.0,3.7,62.4
2020-06-26,32.4,2.4,63.1
2020-06-27,27.2,1.9,81.0
2020-06-28,36.2,0.6,71.9
2020-06-29,29.9,4.2,92.1
2020-06-30,25.4,4.0,74.2
2020-07-01,24.8,9.1,65.0
2020-07-02,29.4,3.1,85.0
2020-07-03,27.3,4.4,70.3
2020-07-04,30.1,6.2,78.4
2020-07-05,29.4,7.2,84.4
2020-07-06,27.8,8.4,91.5
2020-07-07,25.5,5.7,87.7
2020-07-08,23.5,1.5,83.7
2020-07-09,26.7,6.7,83.8
2020-07-10,30.6,2.9,93.1
2020-07-11,28.6,11.5,70.4
2020-07-12,24.3,5.1,60.0
2020-07-13,28.5,6.0,69.5
2020-07-14,29.2,23.4,67.6
2020-07-15,25.3,8.5,83.2
2020-07-16,28.5,6.6,82.2
2020-07-17,28.2,4.5,80.8
2020-07-18,24.6,1.6,60.6
2020-07-19,29.1,4.2,85.5
2020-07-20,29.7,2.4,71.3
2020-07-21,31.2,14.7,83.3
2020-07-22,31.2,6.7,79.5
2020-07-23,23.9,11.2,72.0
2020-07-24,25.2,3.0,64.7
2020-07-25,29.5,2.5,63.3
2020-07-26,29.5,8.0,89.1
2020-07-27,29.5,2.3,92.1
2020-07-28,39.6,3.5,82.7
2020-07-29,29.7,15.1,63.6
2020-07-30,31.4,3.6,74.1
2020-07-31,30.9,1.3,85.5
2020-08-01,30.0,0.8,87.3
2020-08-02,27.1,1.1,64.1
2020-08-03,30.3,11.7,60.0
2020-08-04,25.7,3.2,84.9
2020-08-05,27.3,22.9,72.5
2020-08-06,26.5,13.7,68.9
2020-08-07,28.2,17.5,60.5
2020-08-08,34.9,10.1,78.9
2020-08-09,22.4,7.7,89.8
2020-08-10,30.1,2.5,93.5
2020-08-11,23.2,5.0,79.8
2020-08-12,26.6,8.2,78.0
2020-08-13,31.3,9.7,63.0
2020-08-14,28.2,1.8,79.2
2020-08-15,24.8,4.3,73.3
2020-08-16,25.9,4.7,81.2
2020-08-17,30.0,4.5,73.6
2020-08-18,25.8,2.0,68.4
2020-08-19,28.6,16.2,63.3
2020-08-20,28.1,4.2,71.0
2020-08-21,26.0,2.1,63.4
2020-08-22,34.4,16.4,66.2
2020-08-23,29.9,13.7,94.6
2020-08-24,21.9,5.6,75.5
2020-08-25,28.6,3.4,78.6
2020-08-26,26.0,1.0,90.6
2020-08-27,30.6,7.3,94.8
2020-08-28,25.6,3.2,80.4
2020-08-29,27.7,4.9,88.4
2020-08-30,29.5,15.5,71.4
2020-08-31,30.6,3.0,70.7
2020-09-01,24.4,7.0,74.1
2020-09-02,27.0,8.6,83.5
2020-09-03,26.6,11.4,83.9
2020-09-04,26.0,4.6,71.0
2020-09-05,33.3,4.3,64.7
2020-09-06,29.2,4.2,82.1
2020-09-07,24.2,6.6,64.5
2020-09-08,30.8,13.3,80.2
2020-09-09,34.4,4.0,84.3
2020-09-10,31.1,0.3,84.5
2020-09-11,23.4,9.3,86.4
2020-09-12,26.5,5.3,90.6
2020-09-13,31.8,7.3,77.5
2020-09-14,25.9,1.1,85.6
2020-09-15,29.3,3.2,81.7
2020-09-16,30.3,8.8,66.5
2020-09-17,25.2,1.5,60.9
2020-09-18,27.8,7.0,70.0
2020-09-19,18.3,4.9,75.5
2020-09-20,24.9,2.7,81.6
2020-09-21,27.2,2.5,89.7
2020-09-22,24.3,2.0,66.9
2020-09-23,32.9,5.2,64.4
2020-09-24,23.7,5.7,93.7
2020-09-25,26.7,3.7,63.8
2020-09-26,28.4,1.9,76.7
2020-09-27,32.3,6.9,80.5
2020-09-28,23.7,9.4,78.9
2020-09-29,31.5,7.8,63.0
2020-09-30,28.0,18.0,62.0
2020-10-01,25.1,4.3,63.7
2020-10-02,29.4,12.4,80.5
2020-10-03,28.6,2.9,79.1
2020-10-04,26.2,2.5,68.2
2020-10-05,28.2,5.5,82.3
2020-10-06,26.8,14.3,88.7
2020-10-07,28.3,4.0,61.5
2020-10-08,30.0,1.1,77.4
2020-10-09,32.8,9.3,84.1
2020-10-10,24.3,4.7,68.8
2020-10-11,34.4,6.2,70.8
2020-10-12,22.1,2.6,81.5
2020-10-13,27.5,5.5,91.4
2020-10-14,29.8,1.2,88.3
2020-10-15,28.8,16.3,80.4
2020-10-16,26.1,10.5,85.6
2020-10-17,27.4,5.3,72.8
2020-10-18,26.5,9.1,82.4
2020-10-19,26.2,2.9,76.3
2020-10-20,30.5,10.1,66.6
2020-10-21,29.1,3.8,84.6
2020-10-22,25.9,3.6,79.5
2020-10-23,30.7,2.1,72.6
2020-10-24,28.9,6.8,91.9
2020-10-25,30.4,5.1,60.7
2020-10-26,29.9,12.7,71.1
2020-10-27,25.5,1.9,62.0
2020-10-28,26.3,6.8,86.8
2020-10-29,30.2,11.2,84.6
2020-10-30,29.8,5.8,71.6
2020-10-31,27.9,3.8,83.6
2020-11-01,28.4,5.7,73.9
2020-11-02,31.8,12.0,86.5
2020-11-03,26.2,12.0,75.9
2020-11-04,29.6,4.6,74.4
2020-11-05,27.4,11.9,92.7
2020-11-06,27.3,4.9,68.8
2020-11-07,31.3,9.0,64.2
2020-11-08,30.5,7.4,80.5
2020-11-09,30.4,3.6,93.9
2020-11-10,31.9,2.2,73.2
2020-11-11,28.1,11.4,62.2
2020-11-12,30.0,13.5,71.9
2020-11-13,27.1,6.7,77.7
2020-11-14,29.0,4.9,65.7
2020-11-15,27.6,1.7,83.0
2020-11-16,28.3,11.2,94.9
2020-11-17,29.8,6.2,75.8
2020-11-18,25.5,4.1,72.4
2020-11-19,34.3,9.2,74.0
2020-11-20,25.0,1.4,64.0
2020-11-21,24.4,2.0,90.9
2020-11-22,31.5,2.8,74.5
2020-11-23,30.4,7.3,73.6
2020-11-24,29.9,5.7,83.1
2020-11-25,29.9,7.9,75.5
2020-11-26,28.0,10.6,82.7
2020-11-27,25.3,8.1,62.2
2020-11-28,28.2,16.6,88.5
2020-11-29,26.0,10.6,92.9
2020-11-30,30.9,4.5,82.7
2020-12-01,27.6,3.2,93.4
2020-12-02,25.5,4.7,65.3
2020-12-03,27.0,8.3,76.7
2020-12-04,29.2,3.5,81.1
2020-12-05,26.3,8.4,80.4
2020-12-06,25.5,7.8,74.1
2020-12-07,28.7,2.2,71.8
2020-12-08,28.7,10.5,64.4
2020-12-09,26.5,6.6,73.7
2020-12-10,26.6,16.0,65.7
2020-12-11,28.7,4.9,85.7
2020-12-12,23.7,3.9,67.3
2020-12-13,23.8,1.9,62.0
2020-12-14,25.8,1.9,79.3
2020-12-15,27.4,9.7,80.8
2020-12-16,28.9,15.0,90.5
2020-12-17,32.4,4.6,80.2
2020-12-18,30.6,4.4,72.1
2020-12-19,27.5,5.3,88.1
2020-12-20,27.9,11.0,78.9
2020-12-21,25.0,2.2,62.8
2020-12-22,27.9,6.0,79.8
2020-12-23,27.1,9.8,91.8
2020-12-24,29.0,7.2,73.9
2020-12-25,25.5,0.1,70.4
2020-12-26,29.6,8.1,65.0
2020-12-27,32.6,7.3,65.3
2020-12-28,27.7,12.4,75.1
2020-12-29,29.2,14.2,80.8
2020-12-30,30.1,12.0,62.8
2020-12-31,26.8,5.3,92.9
2021-01-01,28.7,1.0,86.4
2021-01-02,28.0,4.3,80.5
2021-01-03,28.3,5.2,89.0
2021-01-04,25.7,14.9,62.8
2021-01-05,28.1,2.6,76.7
2021-01-06,29.5,1.4,82.1
2021-01-07,32.4,3.5,89.0
2021-01-08,30.9,2.8,87.4
2021-01-09,34.5,1.3,69.7
2021-01-10,25.7,4.7,92.9
2021-01-11,30.6,5.3,64.4
2021-01-12,28.6,1.2,90.6
2021-01-13,34.6,3.9,94.0
2021-01-14,25.6,2.6,66.2
2021-01-15,25.5,5.5,85.3
2021-01-16,26.2,5.9,61.4
2021-01-17,21.6,2.6,74.2
2021-01-18,26.4,10.4,78.1
2021-01-19,25.7,5.1,80.3
2021-01-20,28.5,2.7,92.8
2021-01-21,29.0,1.1,83.5
2021-01-22,33.6,6.1,76.8
2021-01-23,30.9,7.2,88.3
2021-01-24,26.3,3.4,93.3
2021-01-25,25.3,5.6,60.8
2021-01-26,29.5,14.2,94.4
2021-01-27,24.0,9.3,63.0
2021-01-28,33.5,0.4,88.5
2021-01-29,31.5,2.7,69.8
2021-01-30,26.6,4.5,64.6
2021-01-31,22.9,5.3,75.4
2021-02-01,32.1,5.7,82.5
2021-02-02,27.7,6.9,73.3
2021-02-03,31.7,4.6,61.9
2021-02-04,23.2,5.1,81.0
2021-02-05,26.2,9.7,91.6
2021-02-06,28.0,6.2,73.4
2021-02-07,28.1,1.7,67.6
2021-02-08,26.6,5.4,75.5
2021-02-09,29.9,4.5,61.7
2021-02-10,24.8,0.7,88.7
2021-02-11,27.6,5.6,88.9
2021-02-12,28.4,2.0,80.6
2021-02-13,29.5,9.8,72.4
2021-02-14,30.1,6.8,88.0
2021-02-15,24.6,1.7,79.4
2021-02-16,23.4,9.5,88.9
2021-02-17,31.8,12.6,82.1
2021-02-18,29.0,4.1,87.5
2021-02-19,25.8,4.5,80.9
2021-02-20,32.7,8.8,74.5
2021-02-21,28.3,11.9,93.5
2021-02-22,31.5,0.9,78.9
2021-02-23,28.2,1.9,81.2
2021-02-24,34.2,3.6,67.7
2021-02-25,33.3,3.9,81.9
2021-02-26,27.3,8.7,80.0
2021-02-27,30.9,12.0,66.5
2021-02-28,29.9,12.6,62.1
2021-03-01,32.1,0.9,81.2
2021-03-02,25.1,2.5,86.7
2021-03-03,30.1,3.0,78.3
2021-03-04,31.2,2.5,67.9
2021-03-05,22.7,6.8,83.3
2021-03-06,24.5,7.4,62.8
2021-03-07,21.9,5.0,75.5
2021-03-08,27.2,4.7,65.7
2021-03-09,30.2,3.7,66.5
2021-03-10,32.5,4.1,67.1
2021-03-11,28.2,14.1,73.5
2021-03-12,32.9,8.2,61.8
2021-03-13,23.9,3.8,73.9
2021-03-14,22.9,4.6,77.9
2021-03-15,27.8,6.9,76.9
2021-03-16,29.2,1.7,73.4
2021-03-17,27.9,5.6,89.4
2021-03-18,21.8,7.9,65.1
2021-03-19,27.7,7.2,77.7
2021-03-20,24.1,2.5,62.2
2021-03-21,30.0,3.0,62.5
2021-03-22,29.1,0.6,80.1
2021-03-23,25.2,8.5,79.8
2021-03-24,26.5,18.1,90.7
2021-03-25,24.8,2.2,79.5
2021-03-26,27.8,10.6,93.6
2021-03-27,30.9,17.1,61.7
2021-03-28,25.0,3.4,63.4
2021-03-29,29.5,4.6,61.5
2021-03-30,26.4,6.0,66.5
2021-03-31,25.6,7.0,78.9
2021-04-01,27.7,6.3,82.6
2021-04-02,24.9,3.6,61.6
2021-04-03,26.3,7.8,93.1
2021-04-04,24.4,3.7,89.5
2021-04-05,33.9,6.6,70.4
2021-04-06,28.1,4.9,62.7
2021-04-07,25.9,0.8,65.9
2021-04-08,28.6,11.7,64.4
2021-04-09,27.7,3.0,64.3
2021-04-10,27.3,12.4,78.1
2021-04-11,29.8,10.3,68.6
2021-04-12,30.3,5.9,72.5
2021-04-13,26.4,7.3,94.6
2021-04-14,26.3,7.9,84.0
2021-04-15,27.2,4.3,93.2
2021-04-16,21.1,4.4,65.0
2021-04-17,23.5,7.7,73.4
2021-04-18,32.1,4.9,79.4
2021-04-19,32.9,3.6,62.7
2021-04-20,27.3,2.6,60.1
2021-04-21,29.7,6.7,83.5
2021-04-22,28.9,2.9,82.5
2021-04-23,37.2,9.1,74.4
2021-04-24,31.4,9.7,77.1
2021-04-25,27.6,7.3,74.5
2021-04-26,25.1,8.4,60.8
2021-04-27,23.2,7.3,71.7
2021-04-28,28.6,8.8,66.2
2021-04-29,25.7,8.5,63.4
2021-04-30,23.7,6.5,93.5
2021-05-01,26.1,10.4,81.0
2021-05-02,24.8,4.4,85.5
2021-05-03,33.1,2.6,71.0
2021-05-04,30.6,2.5,73.8
2021-05-05,28.0,3.9,68.3
2021-05-06,32.4,0.7,63.4
2021-05-07,28.2,5.9,66.3
2021-05-08,25.4,8.0,87.9
2021-05-09,32.6,9.6,83.7
2021-05-10,29.6,1.0,79.1
2021-05-11,24.9,2.6,76.6
2021-05-12,27.4,8.9,92.3
2021-05-13,25.4,4.3,62.5
2021-05-14,23.9,7.9,69.8
2021-05-15,30.8,1.6,72.2
2021-05-16,33.7,12.3,87.4
2021-05-17,23.8,1.5,94.7
2021-05-18,29.7,5.7,68.4
2021-05-19,26.0,5.9,90.6
2021-05-20,26.5,3.3,89.1
2021-05-21,26.2,7.1,67.9
2021-05-22,25.4,7.2,74.0
2021-05-23,28.1,6.7,74.3
2021-05-24,25.5,3.3,94.2
2021-05-25,28.8,2.8,66.3
2021-05-26,27.8,3.6,88.0
2021-05-27,27.3,2.4,71.7
2021-05-28,25.3,10.7,85.6
2021-05-29,26.3,3.8,74.7
2021-05-30,30.3,5.6,80.2
2021-05-31,29.5,8.9,89.1
2021-06-01,25.1,2.3,88.1
2021-06-02,28.3,1.4,90.3
2021-06-03,30.3,2.5,62.1
2021-06-04,23.0,6.1,84.2
2021-06-05,29.6,5.8,64.9
2021-06-06,26.0,6.7,74.6
2021-06-07,29.7,4.6,79.2
2021-06-08,25.7,0.3,74.1
2021-06-09,22.6,4.5,78.2
2021-06-10,23.1,9.7,94.9
2021-06-11,28.1,11.5,64.7
2021-06-12,28.8,5.4,83.6
2021-06-13,25.3,5.8,73.9
2021-06-14,29.9,7.8,64.7
2021-06-15,23.0,11.3,65.6
2021-06-16,27.8,5.0,93.2
2021-06-17,24.4,7.7,90.8
2021-06-18,26.0,3.2,91.7
2021-06-19,28.1,1.6,94.7
2021-06-20,25.4,3.4,67.3
2021-06-21,26.8,13.0,72.4
2021-06-22,31.0,7.8,83.4
2021-06-23,26.3,1.8,76.9
2021-06-24,30.5,8.1,74.6
2021-06-25,24.6,1.9,72.5
2021-06-26,29.6,6.6,80.8
2021-06-27,32.3,2.3,80.1
2021-06-28,20.6,1.7,65.7
2021-06-29,25.6,14.4,76.5
2021-06-30,29.7,3.8,79.4
2021-07-01,27.4,7.7,80.0
2021-07-02,29.1,5.2,67.4
2021-07-03,26.2,2.0,86.0
2021-07-04,28.3,4.2,60.9
2021-07-05,27.5,2.1,72.4
2021-07-06,31.5,21.4,87.3
2021-07-07,28.8,8.7,79.7
2021-07-08,29.0,5.1,69.1
2021-07-09,26.8,7.4,84.3
2021-07-10,26.5,8.3,79.9
2021-07-11,26.7,8.3,87.9
2021-07-12,29.2,8.1,85.7
2021-07-13,26.7,7.7,81.4
2021-07-14,28.9,5.4,77.1
2021-07-15,34.2,13.7,64.7
2021-07-16,30.6,5.7,69.1
2021-07-17,27.0,5.2,74.7
2021-07-18,31.6,5.7,81.0
2021-07-19,26.8,6.0,78.0
2021-07-20,21.9,1.0,70.1
2021-07-21,25.0,2.4,60.2
2021-07-22,22.4,4.6,77.4
2021-07-23,26.9,1.0,70.0
2021-07-24,28.1,5.1,85.7
2021-07-25,33.0,5.9,60.8
2021-07-26,29.0,1.5,80.5
2021-07-27,27.3,3.0,93.0
2021-07-28,30.5,11.8,66.1
2021-07-29,21.4,7.5,76.5
2021-07-30,28.7,7.2,63.2
2021-07-31,30.3,10.8,81.9
2021-08-01,23.6,2.5,79.3
2021-08-02,31.4,1.5,74.3
2021-08-03,29.0,9.9,78.2
2021-08-04,26.8,4.7,91.4
2021-08-05,29.9,2.4,66.9
2021-08-06,34.8,1.0,60.8
2021-08-07,28.5,5.8,90.2
2021-08-08,28.7,4.3,80.2
2021-08-09,26.6,3.7,91.2
2021-08-10,25.5,0.4,80.9
2021-08-11,30.5,13.6,88.4
2021-08-12,25.4,1.3,75.0
2021-08-13,28.2,4.0,86.2
2021-08-14,26.6,3.5,92.0
2021-08-15,29.4,7.6,80.0
2021-08-16,29.0,1.0,66.3
2021-08-17,31.1,7.0,69.4
2021-08-18,26.5,5.8,67.0
2021-08-19,27.2,2.8,68.6
2021-08-20,25.1,6.8,70.7
2021-08-21,26.7,5.1,79.4
2021-08-22,29.1,15.7,80.6
2021-08-23,30.3,4.3,74.9
2021-08-24,25.2,2.1,81.5
2021-08-25,30.6,7.1,62.9
2021-08-26,32.1,3.9,63.1
2021-08-27,29.2,5.0,66.0
2021-08-28,33.6,1.6,78.1
2021-08-29,25.7,7.7,67.5
2021-08-30,24.3,3.4,69.9
2021-08-31,22.7,6.1,74.0
2021-09-01,32.5,18.3,88.4
2021-09-02,30.0,4.1,60.5
2021-09-03,27.8,8.5,82.7
2021-09-04,28.8,4.3,83.4
2021-09-05,24.6,2.9,88.0
2021-09-06,35.3,12.1,92.6
2021-09-07,28.4,0.7,60.7
2021-09-08,28.3,10.0,65.4
2021-09-09,30.2,0.6,91.0
2021-09-10,29.4,9.3,76.0
2021-09-11,28.7,5.1,79.8
2021-09-12,25.6,2.1,83.2
2021-09-13,29.4,3.6,83.8
2021-09-14,33.6,8.2,92.6
2021-09-15,32.0,17.2,94.9
2021-09-16,32.8,1.1,85.2
2021-09-17,26.5,2.3,70.1
2021-09-18,25.0,1.4,90.8
2021-09-19,27.6,4.3,61.7
2021-09-20,28.2,9.5,68.1
2021-09-21,31.3,1.2,91.4
2021-09-22,22.9,5.0,69.0
2021-09-23,32.6,9.3,67.7
2021-09-24,27.5,3.5,64.8
2021-09-25,26.7,5.8,90.1
2021-09-26,25.0,11.5,77.5
2021-09-27,23.0,1.9,83.6
2021-09-28,30.5,0.8,68.4
2021-09-29,28.2,6.3,86.5
2021-09-30,24.1,6.5,86.6
2021-10-01,24.1,3.3,70.9
2021-10-02,27.0,2.8,74.4
2021-10-03,33.0,5.1,67.3
2021-10-04,27.2,1.9,94.2
2021-10-05,23.5,1.9,82.6
2021-10-06,27.3,8.1,92.7
2021-10-07,27.2,1.7,70.6
2021-10-08,19.9,0.9,87.4
2021-10-09,27.8,2.8,86.8
2021-10-10,27.3,3.4,84.2
2021-10-11,30.1,7.0,93.8
2021-10-12,33.5,3.0,73.8
2021-10-13,31.4,12.8,64.6
2021-10-14,27.2,5.3,83.5
2021-10-15,24.7,2.5,85.5
2021-10-16,35.7,6.8,80.1
2021-10-17,28.2,12.6,67.2
2021-10-18,28.0,8.0,77.7
2021-10-19,27.9,1.1,70.9
2021-10-20,28.6,3.7,75.0
2021-10-21,27.6,6.0,82.6
2021-10-22,26.3,7.7,86.1
2021-10-23,26.4,4.3,68.1
2021-10-24,27.9,3.9,74.2
2021-10-25,26.4,15.7,69.4
2021-10-26,25.9,8.0,67.0
2021-10-27,28.3,6.8,87.4
2021-10-28,27.2,3.1,91.8
2021-10-29,32.5,1.8,73.0
2021-10-30,20.0,6.9,86.3
2021-10-31,31.3,8.7,91.4
2021-11-01,31.7,5.0,89.6
2021-11-02,21.8,8.1,66.4
2021-11-03,27.0,8.2,93.5
2021-11-04,26.9,9.1,73.2
2021-11-05,23.8,1.1,71.9
2021-11-06,25.7,3.7,62.2
2021-11-07,24.7,7.2,77.0
2021-11-08,33.3,5.2,63.8
2021-11-09,30.8,8.2,68.7
2021-11-10,31.8,6.8,71.1
2021-11-11,30.2,0.4,88.3
2021-11-12,24.6,10.6,90.6
2021-11-13,26.4,3.4,70.6
2021-11-14,29.5,2.3,90.1
2021-11-15,24.3,10.3,90.0
2021-11-16,30.1,7.8,86.8
2021-11-17,27.3,11.3,65.1
2021-11-18,26.9,6.1,84.2
2021-11-19,30.1,3.7,93.1
2021-11-20,29.3,5.6,83.9
2021-11-21,26.9,2.0,71.6
2021-11-22,31.5,1.4,77.5
2021-11-23,24.8,2.9,82.6
2021-11-24,29.8,13.6,77.9
2021-11-25,29.8,3.2,64.2
2021-11-26,27.1,0.9,70.9
2021-11-27,29.0,4.4,88.1
2021-11-28,24.2,3.2,90.1
2021-11-29,30.8,10.7,64.8
2021-11-30,27.4,13.0,93.3
2021-12-01,26.4,3.6,71.5
2021-12-02,31.1,6.1,83.2
2021-12-03,25.9,6.5,86.3
2021-12-04,23.8,4.8,88.4
2021-12-05,23.3,4.2,93.1
2021-12-06,29.8,2.2,71.0
2021-12-07,24.2,0.7,90.0
2021-12-08,33.3,2.2,64.6
2021-12-09,21.8,4.7,84.7
2021-12-10,33.1,1.2,86.0
2021-12-11,28.6,5.8,83.7
2021-12-12,27.7,5.3,68.8
2021-12-13,26.4,3.2,90.6
2021-12-14,29.2,4.0,65.9
2021-12-15,27.9,1.5,61.9
2021-12-16,31.3,9.0,85.1
2021-12-17,28.3,8.8,76.6
2021-12-18,28.5,1.7,89.7
2021-12-19,26.9,1.8,73.4
2021-12-20,27.8,2.2,65.9
2021-12-21,28.9,7.5,89.3
2021-12-22,22.9,6.4,79.2
2021-12-23,24.0,10.3,66.6
2021-12-24,30.2,11.0,85.2
2021-12-25,28.5,1.1,77.9
2021-12-26,27.4,7.3,81.2
2021-12-27,28.1,10.7,76.1
2021-12-28,29.0,3.8,89.0
2021-12-29,26.4,4.9,89.0
2021-12-30,25.7,4.4,84.8
2021-12-31,28.6,4.5,63.7
2022-01-01,25.1,8.9,89.4
2022-01-02,29.2,15.3,83.5
2022-01-03,22.9,12.5,84.4
2022-01-04,31.1,3.3,72.7
